,위도,경도,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원
0,37.5530941,126.9054686,3130000,313000001320210002,20210120,,1,영업/정상,0,정상,,,,,,,,서울특별시 마포구 망원동 394-118,서울특별시 마포구 희우정로10길 28 (망원동),4017.0,네오스마트바이,20210120095625,I,2020-11-30 22:02:00.0,,,,,,
1,37.4792665,126.9103675,3200000,320000001320210002,20210120,,1,영업/정상,0,정상,,,,,,,,서울특별시 관악구 신림동 1730 신림푸르지오아파트 상가동,서울특별시 관악구 남부순환로 1430 상가동 지층 비101-4호 (신림동 신림푸르지오아파트),8770.0,나스티스,20210120093431,I,2020-11-30 22:02:00.0,,,,,,
2,37.5103689,127.0172721,3210000,321000001320130001,20130409,,1,영업/정상,0,정상,,,,,,,,서울특별시 서초구 잠원동 46-9번지 303호,서울특별시 서초구 신반포로43길 11-11 303호 (잠원동),6532.0,(주)유유엠,20130409175349,I,2018-08-31 23:59:59.0,,동물용의료용구판매업,,,L00,
3,37.4913243,127.0106859,3210000,321000001320140002,20140729,,1,영업/정상,0,정상,,,,,,,,서울특별시 서초구 서초동 1556-2번지 ,서울특별시 서초구 반포대로28길 43 (서초동),6646.0,(주)아이센스,20140729104716,I,2018-08-31 23:59:59.0,,동물용의료용구판매업,,,L00,
4,36.12707109999999,-79.86071799999999,3210000,321000001320020002,20021204,,1,영업/정상,0,정상,,,,,595-6030,76.0,,서울특별시 서초구 양재동 275-2   번지 윈드스톤호피스텔 702호,,,(주)렉스팩인터내셔널,20030226164442,I,2018-08-31 23:59:59.0,,동물용의료용구판매업,,,L00,
5,37.4859772,127.0140966,3210000,321000001320090001,20090226,,1,영업/정상,0,정상,,,,,525-1981,56.0,,서울특별시 서초구 서초동 1588-3번지 로젠빌딩 1203호 ,서울특별시 서초구 효령로55길 27 (서초동로젠빌딩 1203호),,(주)씨엘에이인터내셔날,20100716170232,I,2018-08-31 23:59:59.0,,동물용의료용구판매업,,,L00,
6,36.12707109999999,-79.86071799999999,3210000,321000001320100001,20100312,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 서초구 방배동 752-36 B108호호,,,데니스테크,20100312144759,I,2018-08-31 23:59:59.0,,동물용의료용구판매업,,,000,
7,37.4915922,127.0157198,3210000,321000001320110001,20111103,,1,영업/정상,0,정상,,,,,572-7896,,,서울특별시 서초구 서초동 1445-13번지 쌍용프래티넘 417호 ,서울특별시 서초구 서초중앙로 18 (서초동),6720.0,(주)둘리정보통신,20111103142556,I,2018-08-31 23:59:59.0,,동물용의료용구판매업,,,000,
8,37.4852841,127.0041972,3210000,321000001319880001,19881105,,1,영업/정상,0,정상,,,,,588-9371,0.0,,서울특별시 서초구 서초동 1516-4번지 3층 ,서울특별시 서초구 명달로 90 3층 (서초동),6668.0,세중무역상사,20111030145814,I,2018-08-31 23:59:59.0,,동물용의료용구판매업,,,000,
9,36.12707109999999,-79.86071799999999,3210000,321000001319980001,19980612,,1,영업/정상,0,정상,,,,,547-0672,0.0,,서울특별시 서초구 잠원동 26-4   번지 5층 ,,,한국 IMV,20021217105628,I,2018-08-31 23:59:59.0,,동물용의료용구판매업,,,000,
